Segundos_em_0,Bytes_Por_0_Segundo,Quantidade_pacotes
10.0,1351584,936
11.0,2576096,1784
12.0,2576096,1784
13.0,2576096,1784
14.0,2576096,1784
15.0,2576096,1784
16.0,2576096,1784
17.0,2576096,1784
18.0,2576096,1784
19.0,2576096,1784
20.0,2576096,1784
21.0,2576096,1784
22.0,2576096,1784
23.0,2576096,1784
24.0,2576096,1784
25.0,2576096,1784
26.0,2576096,1784
27.0,2576096,1784
28.0,2576096,1784
29.0,2576096,1784
30.0,2576096,1784
31.0,2576096,1784
32.0,2576096,1784
33.0,2576096,1784
34.0,2576096,1784
35.0,1285160,890
